"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"HEME_METABOLISM","HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM",193,-0.442687861100575,-1.77207206851394,0.00175438596491228,0.00523669878508588,0.00187418693360968,4281,"tags=42%, list=23%, signal=33%","11163/286/23608/8974/23039/79269/55589/4601/4779/25901/23351/3920/114625/129642/4005/6622/56674/7716/51573/55532/3043/8301/210/996/2039/55030/2035/55810/25893/9429/25897/9663/644/80853/9258/4259/10133/81689/51092/23530/23112/571/23365/118/23052/8867/115201/665/6535/10158/23657/51646/7779/5909/26020/23002/2908/10840/6386/847/66008/140609/51274/7145/4329/1193/360/8780/22936/8991/8031/1182/7832/54855/759/831/8850/2532/7504/760/1510"
"XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",197,-0.382815019999736,-1.53194973382579,0.00175438596491228,0.00523669878508588,0.00187418693360968,2535,"tags=26%, list=13%, signal=23%","9663/5627/57406/54677/223/2936/2203/65018/7042/283537/10776/7358/3479/23710/7009/4121/1036/3487/2114/5909/51128/84913/26999/2052/847/217/3554/8644/51635/51/2168/1728/57447/10611/7498/54884/948/2110/218/355/4128/8714/8876/9060/3294/23169/5730/957/1562/5166/126/760"
"ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",99,-0.578299955431728,-2.13667130056004,0.00175746924428822,0.00523669878508588,0.00187418693360968,3958,"tags=58%, list=21%, signal=46%","354/8554/10513/4824/4094/3422/9218/7113/658/2683/5867/8848/2289/6446/3998/84159/3156/2185/87/23585/54407/2181/2936/10627/57178/11099/4189/60559/51465/6197/27347/2005/79689/220/9871/8916/1836/8821/6675/567/2982/3977/9510/23171/22936/10611/9590/7163/25816/8031/8611/3685/3248/11057/25803/10788/6414"
"PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",96,-0.556493964530206,-2.04233562813666,0.00176678445229682,0.00523669878508588,0.00187418693360968,3871,"tags=56%, list=20%, signal=45%","81542/11311/8729/3920/967/8417/1213/476/102/10565/372/3998/10959/5862/5594/8674/8773/4952/23033/9341/1956/8774/1176/858/23041/5868/163/6643/23095/164/2581/9554/8546/22872/26286/10972/6197/259230/5066/51552/27236/538/9871/8615/9525/2803/19/7163/9522/23673/8082/1182/667/7103"
"ADIPOGENESIS","HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",199,-0.398674903165747,-1.59551755775582,0.00177304964539007,0.00523669878508588,0.00187418693360968,2696,"tags=30%, list=14%, signal=26%","1647/8491/4698/10580/10140/1666/5236/2053/5733/4259/2820/1738/1031/79071/84919/4189/10010/1629/3033/3910/901/26353/10162/7905/5468/128338/35/8322/1376/847/217/27250/2167/3977/51635/1384/51/34/80760/8780/19/5264/9908/54884/948/8082/26994/4958/4023/2040/9936/6342/4638/51727/5168/11343/8404/8436/134147"
"FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",156,-0.4191289451459,-1.63712965460548,0.00177304964539007,0.00523669878508588,0.00187418693360968,3836,"tags=39%, list=20%, signal=31%","10455/1374/7533/3422/1743/10449/84693/658/58476/873/210/11185/594/6392/5793/84263/6296/912/1666/51703/644/2820/223/1738/5910/2182/3033/7358/1429/23710/3295/5465/1962/35/3032/1376/2180/51170/2052/2752/224/1384/51/2168/34/57515/54884/948/2110/8801/216/8639/218/4128/8876/3248/11343/2169/126/760/3158"
"IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",199,-0.390985533595626,-1.56474430350836,0.00177304964539007,0.00523669878508588,0.00187418693360968,2685,"tags=34%, list=14%, signal=29%","23075/2983/9249/254013/7074/2151/3587/836/5269/8829/6095/1893/5243/3563/8835/962/126669/158219/22807/84230/1233/23208/4641/3099/22822/23710/8809/51284/2012/8553/3662/9910/285172/9173/79971/5727/894/974/596/4084/960/3655/6402/6484/57045/28996/80760/659/388/7850/1316/83699/650/56990/8743/214/8611/6403/3685/10924/4582/196/10875/4907/5732/79026/760"
"KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",199,-0.451287423256969,-1.8060755810895,0.00177304964539007,0.00523669878508588,0.00187418693360968,3314,"tags=38%, list=17%, signal=32%","5178/2791/3553/6616/3936/51199/2115/4674/6480/4214/1794/9734/3398/6801/64123/28951/3587/2150/54677/8829/5243/951/5743/27299/3486/7813/10205/2012/7851/6447/9910/2591/5175/1848/7035/9971/2745/8854/22903/894/2113/220/27075/10320/6304/23136/1363/2982/7852/55107/1839/3673/54893/347/54462/3075/3575/9590/7102/650/2517/685/3561/1520/3783/2162/55273/4013/8404/9314/10418/11199/90865/10103/5284/760"
"MYOGENESIS","HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",199,-0.422542827454853,-1.69103822376229,0.00177304964539007,0.00523669878508588,0.00187418693360968,3487,"tags=36%, list=18%, signal=29%","5507/1974/3679/23175/6709/4627/844/22924/573/10290/9659/1760/5348/4209/10580/1756/7433/3691/9215/1837/5925/688/5837/6876/4641/3479/3486/6535/8553/8912/4684/26353/4205/4208/1410/8736/1152/25937/6450/2180/6840/115/5740/1191/178/1839/1384/2934/347/6442/3688/1728/2775/1026/948/1675/4151/8082/6444/11155/351/2247/3983/3908/845/4638/6649/2273/25803/4629/1674"
"EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",200,-0.444483277643476,-1.77850697825639,0.00177935943060498,0.00523669878508588,0.00187418693360968,2011,"tags=30%, list=11%, signal=27%","7412/4035/2200/6876/3915/4853/59/11167/3486/3690/6387/2006/8076/6535/7171/4060/3487/10516/2669/966/6586/1601/1809/960/10979/2331/11010/1490/5376/5768/3673/1634/800/3688/10085/388/26585/9353/7045/3918/6444/2517/2247/7049/7857/667/3908/5270/3685/3909/355/7168/4256/4638/6422/6443/4907/290/25890/4147"
"ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",200,-0.421918958230559,-1.68822056804937,0.00177935943060498,0.00523669878508588,0.00187418693360968,3315,"tags=40%, list=17%, signal=33%","2683/22876/573/56944/7071/4681/5241/2289/55806/4137/11098/23389/9249/10140/7074/367/54020/25976/9846/8800/2444/6566/9467/28966/23052/221/2222/6387/5979/22836/8553/375449/57419/26353/22996/27295/3487/55793/7357/7466/10395/596/10439/960/1836/2317/6840/115/120/6196/1960/4886/6990/6505/360/9214/3717/863/8204/79875/6337/3983/26509/4299/2353/9060/2274/771/4582/2674/3572/54463/11057/9314/7033/79083/4477/21/7031"
"ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",200,-0.395724525715254,-1.58340901863198,0.00177935943060498,0.00523669878508588,0.00187418693360968,3110,"tags=38%, list=16%, signal=32%","4681/5241/2289/6446/55806/3398/4137/11098/9135/10140/7074/5733/9215/11012/9254/2444/6566/221/7538/7358/2222/64215/6387/5979/10497/5618/57419/26353/27295/3487/7466/596/27075/1152/10439/960/1836/2317/120/1363/857/27250/6196/1960/224/5265/4886/6990/56521/4057/3716/3717/8204/2852/3918/7177/9547/6337/22824/5577/26509/4299/493/2353/9060/771/3572/11057/9314/7033/10551/21/760/3158/7031"
"HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",200,-0.374660620469438,-1.4991262022623,0.00177935943060498,0.00523669878508588,0.00187418693360968,2596,"tags=28%, list=14%, signal=25%","3516/5236/9215/1837/6095/2239/1956/5837/25976/10370/54206/2203/26136/901/3099/7538/3486/8609/665/8553/7436/5066/2745/694/538/9672/596/2113/124872/2908/3098/2355/3423/1490/857/7360/7852/11015/1634/5578/1843/9590/7163/1316/7045/1026/8991/2719/8406/4493/56925/2152/2353/771/10891/51316/229"
"TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",200,-0.371221346059913,-1.48536466421321,0.00177935943060498,0.00523669878508588,0.00187418693360968,3315,"tags=38%, list=17%, signal=32%","8613/2643/5187/3491/9034/23586/3606/2683/3553/329/4790/467/7071/8848/8837/6446/3949/4780/5806/3552/8013/3398/1647/10957/2150/7280/127544/10769/5966/10725/25976/1958/3460/10010/5743/9516/22822/7538/8553/4082/2114/490/5271/182/2669/694/4084/1827/960/2355/4170/1960/1839/5142/2354/388/1843/19/3575/10611/1880/969/1316/1026/11080/650/25816/4929/10365/7832/2152/2353/1846/3572/687/9314/5734"
"UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",144,-0.565600474127972,-2.17719618158949,0.00179856115107914,0.00523669878508588,0.00187418693360968,4757,"tags=66%, list=25%, signal=50%","10486/4325/27032/1027/3667/307/657/27109/6383/4092/91746/5581/23469/22828/323/2697/92/8613/861/3491/302/273/26037/4790/5922/6717/50937/22884/3949/594/546/1859/9975/3037/8997/23576/7082/55109/8829/9863/4233/10370/6310/57178/11099/3915/4853/5728/10000/23266/3690/8553/7799/7436/2869/490/7035/5468/10516/11030/5797/8503/10395/2650/1601/5737/2908/8821/120/5376/3488/140609/857/23345/1902/5578/1843/10611/4493/8476/2202/4131/5577/7049/4052/493/4781/2152/2274/7048/3778/11343/10659/5332/3815"
"TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",54,-0.521357430894598,-1.73430316499251,0.00189753320683112,0.00523669878508588,0.00187418693360968,4526,"tags=54%, list=24%, signal=41%","657/57154/4092/999/90/6497/4086/51742/51592/7057/7071/387/3398/331/4053/7082/3460/7323/7046/6711/7044/5494/25937/6498/8412/28996/659/324/650"
