"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SULT1B1",-1.633,3.594,-17.649,0,0,125.712
"ABCA3",-0.866,2.095,-11.465,0,0,53.919
"MATN2",-0.796,3.666,-9.562,0,0,36.304
"RECQL4",0.602,4.738,9.501,0,0,35.779
"IQGAP2",-0.698,4.001,-9.444,0,0,35.294
"RASL10B",0.633,1.471,9.281,0,0,33.92
"BCAS1",-0.886,3.466,-9.153,0,0,32.851
"PABPC1L",0.7,3.727,9.067,0,0,32.142
"PRKACB",-0.619,4.075,-9.051,0,0,32.008
"MYBL2",0.588,6.731,8.789,0,0,29.886
"TSPAN1",-0.867,7.682,-8.67,0,0,28.936
"SELENOP",-0.801,4.729,-8.58,0,0,28.23
"SLC40A1",-0.605,6.99,-8.39,0,0,26.756
"AGR3",-1.121,5.642,-8.198,0,0,25.289
"MMP28",-0.695,2.937,-8.079,0,0,24.399
"ATP2A3",-0.645,5.467,-7.954,0,0,23.471
"UGT1A10",-0.726,1.835,-7.888,0,0,22.987
"PDK4",-0.703,3.736,-7.866,0,0,22.827
"LY6E",0.659,7.487,7.856,0,0,22.76
"FER1L6",-0.804,1.594,-7.831,0,0,22.574
"IL33",-0.853,4.174,-7.764,0,0,22.093
"PARM1",-0.592,5.643,-7.542,0,0,20.515
"BHLHE41",-0.588,3.836,-7.535,0,0,20.463
"MS4A8",-0.743,2.487,-7.507,0,0,20.268
"TFF1",-1.32,8.041,-7.449,0,0,19.868
"TSPAN8",-0.686,9.001,-7.437,0,0,19.786
"FCGBP",-1.27,4.906,-7.345,0,0,19.149
"TMEM74B",0.624,2.878,7.312,0,0,18.925
"CA2",-0.971,5.472,-7.28,0,0,18.703
"ST6GALNAC1",-0.811,5.673,-7.236,0,0,18.41
"PRUNE2",-0.727,2.917,-7.189,0,0,18.088
"AGR2",-0.777,9.241,-7.15,0,0,17.829
"CYP2C18",-0.608,2.225,-7.103,0,0,17.516
"METTL27",0.637,3.423,7.086,0,0,17.402
"ZBTB7C",-0.658,2.555,-6.991,0,0,16.775
"CHST13",0.635,2.036,6.876,0,0,16.028
"ADH1B",-0.655,1.522,-6.84,0,0,15.796
"AKR1B10",-1.032,4.259,-6.822,0,0,15.68
"CAPN9",-0.726,2.486,-6.621,0,0,14.411
"FAM3D",-0.826,7.223,-6.596,0,0,14.254
"SLC4A4",-0.645,2.161,-6.585,0,0,14.187
"UGT2B7",-0.646,1.956,-6.532,0,0,13.861
